ID,Name,Description,BIPA
BIPA_zg_u007Au02E0,zˠ,velarized voiced alveolar sibilant fricative consonant,zˠ
BIPA_qkh_u0071u03C7,qχ,voiceless uvular affricate consonant,qχ
BIPA_e_u025Bu0303,ɛ̃,nasalized unrounded open-mid front vowel,ɛ̃
BIPA_x_u0078,x,voiceless velar fricative consonant,x
BIPA_e_u025Bu0324,ɛ̤,breathy unrounded open-mid front vowel,ɛ̤
BIPA_ndz_u006Eu0064u007A,ndz,from voiced alveolar nasal to voiced alveolar sibilant affricate cluster,ndz
UNK_ij_u0069u006A,ij,,
BIPA_dj_u0064u029D,dʝ,from voiced alveolar stop to voiced palatal fricative cluster,dʝ
BIPA_i_u0069,i,unrounded close front vowel,i
UNK__u0295u0294,ʕʔ,,
BIPA_oe_u0153u02D0,œː,long rounded open-mid front vowel,œː
BIPA_ae_u0061u025Bu032F,aɛ̯,from unrounded open front to non-syllabic unrounded open-mid front diphthong,aɛ̯
BIPA_u_u0075u0259,uə,from rounded close back to unrounded mid central diphthong,uə
UNK_r_u0279u0294,ɹʔ,,
BIPA_ng_u014Bu0325,ŋ̥,devoiced voiced velar nasal consonant,ŋ̊
BIPA_ng_u014Bu02E4,ŋˤ,pharyngealized voiced velar nasal consonant,ŋˤ
BIPA_i_u0069u0259u032F,iə̯,from unrounded close front to non-syllabic unrounded mid central diphthong,iə̯
UNK_pm_u0070u006D,pm,,
BIPA_u_u028Au02D0,ʊː,long rounded near-close near-back vowel,ʊː
UNK_ndjntj_u006Eu032Au0064u032Au02B2u0020u006Eu0074u02B2,n̪d̪ʲ ntʲ,,
UNK_ej_u025Bu006A,ɛj,,
BIPA_nj_u006Eu02B2,nʲ,palatalized voiced alveolar nasal consonant,nʲ
BIPA_ts_u0074u02D0u0283,tːʃ,long voiceless post-alveolar sibilant affricate consonant,tʃː
BIPA_mf_u006Du0066,mf,from voiced bilabial nasal to voiceless labio-dental fricative cluster,mf
BIPA_h_u0068u02D0,hː,long voiceless glottal fricative consonant,hː
BIPA_oi_u006Fu0069,oi,from rounded close-mid back to unrounded close front diphthong,oi
BIPA_pw_u0070u02B7,pʷ,labialized voiceless bilabial stop consonant,pʷ
BIPA_ai_u0250u0303u0069,ɐ̃i,from nasalized unrounded near-open central to unrounded close front diphthong,ɐ̃i
BIPA_p_u0070u02BC,pʼ,voiceless bilabial ejective stop consonant,pʼ
UNK_vs_u0076u0020u0073,v s,,
BIPA_rw_u0281u02B7,ʁʷ,labialized voiced uvular fricative consonant,ʁʷ
BIPA_ei_u025Bu026A,ɛɪ,from unrounded open-mid front to unrounded near-close near-front diphthong,ɛɪ
UNK_kngw_u006Bu014Bu02B7,kŋʷ,,
BIPA_au_u0061u028A,aʊ,from unrounded open front to rounded near-close near-back diphthong,aʊ
BIPA_g_u0262,ɢ,voiced uvular stop consonant,ɢ
BIPA_dz_u0064u02D0u007A,dːz,long voiced alveolar sibilant affricate consonant,dzː
BIPA_ts_u0074u0283u033A,tʃ̺,voiceless apical post-alveolar sibilant affricate consonant,tʃ̺
BIPA_d_u0064u02E4,dˤ,pharyngealized voiced alveolar stop consonant,dˤ
BIPA_i_u0069u0319,i̙,retracted-tongue-root unrounded close front vowel,i̙
BIPA_u_u0264u02D1,ɤˑ,mid-long unrounded close-mid back vowel,ɤˑ
BIPA_nts_u006Eu0074u0283,ntʃ,from voiced alveolar nasal to voiceless post-alveolar sibilant affricate cluster,ntʃ
BIPA_oe_u00F8u0065,øe,from rounded close-mid front to unrounded close-mid front diphthong,øe
BIPA_ua_u0264u0251,ɤɑ,from unrounded close-mid back to unrounded open back diphthong,ɤɑ
BIPA_ou_u0254u0075u02D0,ɔuː,from rounded open-mid back to long rounded close back diphthong,ɔuː
BIPA_ts_u0288u0282u02D0,ʈʂː,long voiced retroflex sibilant affricate consonant,ʈʂː
BIPA_tjw_u0074u02B2u02B7,tʲʷ,palatalized labialized voiceless alveolar stop consonant,tʲʷ
BIPA_dh_u0064u02B1u02D0,dʱː,long breathy voiced alveolar stop consonant,dʱː
BIPA_ia_u0069u0250,iɐ,from unrounded close front to unrounded near-open central diphthong,iɐ
BIPA_a_u0061u02D1,aˑ,mid-long unrounded open front vowel,aˑ
BIPA_i_u0069u0324,i̤,breathy unrounded close front vowel,i̤
BIPA_ng_u006Eu0067,ng,from voiced alveolar nasal to voiced velar stop cluster,ng
BIPA_ag_u0061u02E0,aˠ,velarized unrounded open front vowel,aˠ
UNK_wei_u0077u0065u0069u032F,wei̯,,
BIPA_e_u025Bu0324u02D1,ɛ̤ˑ,mid-long breathy unrounded open-mid front vowel,ɛ̤ˑ
BIPA_kw_u006Bu02B7u0027,kʷ',labialized voiceless velar ejective stop consonant,k’ʷ
BIPA_pw_u0070u02B7u2019,pʷ’,labialized voiceless bilabial ejective stop consonant,p’ʷ
BIPA_oe_u0153u031E,œ̞,lowered rounded open-mid front vowel,œ̞
BIPA_h_u0127,ħ,voiceless pharyngeal fricative consonant,ħ
BIPA_ai_u0061u0069u032F,ai̯,from unrounded open front to non-syllabic unrounded close front diphthong,ai̯
BIPA_zw_u007Au02B7,zʷ,labialized voiced alveolar sibilant fricative consonant,zʷ
UNK_ngg_u0294u014Bu0067,ʔŋg,,
BIPA_e_u1EBDu02E4,ẽˤ,pharyngealized nasalized unrounded close-mid front vowel,ẽˤ
BIPA_dz_u0064u0320u0291u02D0,d̠ʑː,from voiced post-alveolar stop to long voiced alveolo-palatal sibilant fricative cluster,d̠ʑː
BIPA_ea_u0065u00E3,eã,from unrounded close-mid front to nasalized unrounded open front diphthong,eã
BIPA_a_u0251,ɑ,unrounded open back vowel,ɑ
BIPA_au_u0061u0075u032F,au̯,from unrounded open front to non-syllabic rounded close back diphthong,au̯
BIPA_r_u0281u02D0,ʁː,long voiced uvular fricative consonant,ʁː
BIPA_o_u00F8,ø,rounded close-mid front vowel,ø
BIPA_bbh_u0062u0062u02B1,bbʱ,from voiced bilabial stop to breathy voiced bilabial stop cluster,bbʱ
BIPA_o_u0275u02D0,ɵː,long rounded close-mid central vowel,ɵː
BIPA_n_u207Fu01C0,ⁿǀ,pre-nasalized voiceless dental click consonant,ⁿǀ
BIPA_d_u0064u003A,d:,long voiced alveolar stop consonant,dː
BIPA_aei_u00E6u0069,æi,from unrounded near-open front to unrounded close front diphthong,æi
BIPA_b_u0299,ʙ,voiced bilabial trill consonant,ʙ
BIPA_l_u006Cu02E4,lˤ,pharyngealized voiced alveolar lateral approximant consonant,lˤ
BIPA_t_u0074,t,voiceless alveolar stop consonant,t
BIPA_t_u0074u2019u02D0,t’ː,long voiceless alveolar ejective stop consonant,t’ː
BIPA_u_u0075u02E4,uˤ,pharyngealized rounded close back vowel,uˤ
BIPA_tc_u0074u00E7,tç,from voiceless alveolar stop to voiceless palatal sibilant fricative cluster,tç
BIPA_ai_u0250u0069,ɐi,from unrounded near-open central to unrounded close front diphthong,ɐi
BIPA_ei_u025Bu0069u02D0,ɛiː,from unrounded open-mid front to long unrounded close front diphthong,ɛiː
BIPA_gh_u0067u02B1u02D0,gʱː,long breathy voiced velar stop consonant,gʱː
BIPA_tsh_u0074u0073u02B0,tsʰ,aspirated voiceless alveolar sibilant affricate consonant,tsʰ
BIPA_n_u006Eu0294,nʔ,from voiced alveolar nasal to voiceless glottal stop cluster,nʔ
BIPA_bh_u0062u02B1,bʱ,breathy voiced bilabial stop consonant,bʱ
BIPA_mj_u006Du02B2,mʲ,palatalized voiced bilabial nasal consonant,mʲ
UNK_j_u0294u006A,ʔj,,
BIPA_u_u1E73u02D0,ṳː,long breathy rounded close back vowel,ṳː
BIPA_n_u006E,n,voiced alveolar nasal consonant,n
BIPA_jw_u006Au02B7,jʷ,labialized voiced palatal approximant consonant,jʷ
BIPA_i_u0129u02E4,ĩˤ,pharyngealized nasalized unrounded close front vowel,ĩˤ
BIPA_ia_u0069u0251,iɑ,from unrounded close front to unrounded open back diphthong,iɑ
UNK_nth_u004Eu0074u02B0,Ntʰ,,
BIPA_ngw_u014Bu02B7,ŋʷ,labialized voiced velar nasal consonant,ŋʷ
BIPA_tl_u0074u026Cu0027,tɬ',voiceless alveolar ejective lateral affricate consonant,tɬ’
BIPA_gg_u0067u0067,gg,from voiced velar stop to voiced velar stop cluster,gg
BIPA_w_u0077,w,voiced labio-velar approximant consonant,w
BIPA_m_u006Du0329,m̩,syllabic voiced bilabial nasal consonant,m̩
BIPA_au_u0251u028A,ɑʊ,from unrounded open back to rounded near-close near-back diphthong,ɑʊ
UNK_iou_u0069u006Fu0075,iou,,
UNK_trh_u0288u027Du02B0,ʈɽʰ,,
UNK_dr_u0256u027D,ɖɽ,,
UNK_n_u0294u006E,ʔn,,
BIPA_iu_u0069u02D0u0075,iːu,from long unrounded close front to rounded close back diphthong,iːu
UNK_ew_u0065u0077,ew,,
BIPA_ae_u00E6u0303u02D0,æ̃ː,long nasalized unrounded near-open front vowel,æ̃ː
BIPA_ng_u014Bu02D0,ŋː,long voiced velar nasal consonant,ŋː
UNK_dzdz_u0064u007Au0064u007A,dzdz,,
BIPA_ao_u0251u006F,ɑo,from unrounded open back to rounded close-mid back diphthong,ɑo
UNK_wai_u0077u0061u0069u032F,wai̯,,
BIPA_u_u0075u031E,u̞,lowered rounded close back vowel,u̞
BIPA_tsh_u0074u0282u02B0,tʂʰ,aspirated voiceless retroflex sibilant affricate consonant,ʈʂʰ
BIPA_u_u028Au02D1,ʊˑ,mid-long rounded near-close near-back vowel,ʊˑ
BIPA_rh_u027Du02B1,ɽʱ,breathy voiced retroflex tap consonant,ɽʱ
BIPA_ui_u0075u0069,ui,from rounded close back to unrounded close front diphthong,ui
BIPA__u0295u02D0,ʕː,long voiced pharyngeal fricative consonant,ʕː
BIPA_e_u00EB,ë,centralized unrounded close-mid front vowel,ë
BIPA_ddh_u0064u0064u02B1,ddʱ,from voiced alveolar stop to breathy voiced alveolar stop cluster,ddʱ
BIPA_ngg_u014Bu0067,ŋg,from voiced velar nasal to voiced velar stop cluster,ŋg
UNK__u033C,̼,,
BIPA_u_u0075u0319,u̙,retracted-tongue-root rounded close back vowel,u̙
BIPA_mbw_u006Du0062u02B7,mbʷ,from voiced bilabial nasal to labialized voiced bilabial stop cluster,mbʷ
BIPA_mbj_u006Du0062u02B2,mbʲ,from voiced bilabial nasal to palatalized voiced bilabial stop cluster,mbʲ
BIPA_kj_u006Bu02B2u02BC,kʲʼ,palatalized voiceless velar ejective stop consonant,k’ʲ
UNK_eaia_u025Bu02D0u0252u032Fu02E4u003Bu0020u026Au02D0u0252u032Fu02E4,ɛːɒ̯ˤ; ɪːɒ̯ˤ,,
UNK_aui_u0061u028Au026A,aʊɪ,,
BIPA_aeo_u00E6u0254,æɔ,from unrounded near-open front to rounded open-mid back diphthong,æɔ
BIPA_ui_u0075u0069u032F,ui̯,from rounded close back to non-syllabic unrounded close front diphthong,ui̯
BIPA_wi_u026Fu0069,ɯi,from unrounded close back to unrounded close front diphthong,ɯi
BIPA_ea_u0065u0061u02D0,eaː,from unrounded close-mid front to long unrounded open front diphthong,eaː
BIPA_wa_u026Fu0061,ɯa,from unrounded close back to unrounded open front diphthong,ɯa
BIPA_nzw_u006Eu007Au02B7,nzʷ,from voiced alveolar nasal to labialized voiced alveolar sibilant fricative cluster,nzʷ
BIPA_l_u026Cu02D0,ɬː,long voiceless alveolar lateral fricative consonant,ɬː
BIPA_fh_u0066u02B0,fʰ,aspirated voiceless labio-dental fricative consonant,fʰ
BIPA_s_u0073u02E4,sˤ,pharyngealized voiceless alveolar sibilant fricative consonant,sˤ
BIPA_r_u0072u02E4u02D0,rˤː,pharyngealized long voiced alveolar trill consonant,rˤː
BIPA_ndw_u006Eu0064u02B7,ndʷ,from voiced alveolar nasal to labialized voiced alveolar stop cluster,ndʷ
BIPA_a_u0250,ɐ,unrounded near-open central vowel,ɐ
BIPA_eu_u0065u0075,eu,from unrounded close-mid front to rounded close back diphthong,eu
BIPA_khw_u03C7u02B7,χʷ,labialized voiceless uvular fricative consonant,χʷ
BIPA_ao_u0061u0275u032F,aɵ̯,from unrounded open front to non-syllabic rounded close-mid central diphthong,aɵ̯
UNK_wo_u0077u006F,wo,,
BIPA_sw_u0073u02B7u02D0,sʷː,labialized long voiceless alveolar sibilant fricative consonant,sʷː
BIPA_ui_u0075u02D0u0069,uːi,from long rounded close back to unrounded close front diphthong,uːi
BIPA_tth_u0288u0288u02B0,ʈʈʰ,from voiceless retroflex stop to aspirated voiceless retroflex stop cluster,ʈʈʰ
BIPA_tw_u0074u02B7,tʷ,labialized voiceless alveolar stop consonant,tʷ
BIPA_oey_u0153u0079u02D0,œyː,from rounded open-mid front to long rounded close front diphthong,œyː
BIPA_a_u0251u02D1,ɑˑ,mid-long unrounded open back vowel,ɑˑ
BIPA_ua_u0075u0061,ua,from rounded close back to unrounded open front diphthong,ua
BIPA_k_u006Bu003A,k:,long voiceless velar stop consonant,kː
BIPA_i_u028Cu0069,ʌi,from unrounded open-mid back to unrounded close front diphthong,ʌi
BIPA_i_u0268u02D0,ɨː,long unrounded close central vowel,ɨː
BIPA_ar_u0061u02DE,a˞,rhotacized unrounded open front vowel,a˞
BIPA_th_u0074u032Au02B0,t̪ʰ,aspirated voiceless dental stop consonant,t̪ʰ
UNK_uw_u0075u0077,uw,,
BIPA_q_u0071,q,voiceless uvular stop consonant,q
BIPA_sg_u0073u02E0,sˠ,velarized voiceless alveolar sibilant fricative consonant,sˠ
BIPA_d_u0064,d,voiced alveolar stop consonant,d
UNK_je_u006Au0065,je,,
BIPA_b_u0299u0325,ʙ̥,devoiced voiced bilabial trill consonant,ʙ̥
BIPA_o_u00F5u02D0,õː,long nasalized rounded close-mid back vowel,õː
BIPA_ea_u0065u0251,eɑ,from unrounded close-mid front to unrounded open back diphthong,eɑ
BIPA_e_u0065u0324u02D1,e̤ˑ,mid-long breathy unrounded close-mid front vowel,e̤ˑ
BIPA_j_u02C0u006A,ˀj,pre-glottalized voiced palatal approximant consonant,ˀj
BIPA_tsh_u0074u033Bu0073u033Bu02B0,t̻s̻ʰ,from voiceless laminal alveolar stop to aspirated voiceless laminal alveolar sibilant fricative cluster,t̻s̻ʰ
BIPA_s_u0073u033B,s̻,voiceless laminal alveolar sibilant fricative consonant,s̻
BIPA__u01C1u2019,ǁ’,voiceless lateral ejective click consonant,ǁ’
BIPA_aeo_u00E6u006F,æo,from unrounded near-open front to rounded close-mid back diphthong,æo
BIPA_t_u0074u2019,t’,voiceless alveolar ejective stop consonant,tʼ
UNK_kng_u006Bu014B,kŋ,,
BIPA_tsj_u0074u0073u02B2,tsʲ,palatalized voiceless alveolar sibilant affricate consonant,tsʲ
BIPA_e_u025Bu02D0,ɛː,long unrounded open-mid front vowel,ɛː
BIPA_ei_u0065u031Eu026A,e̞ɪ,from unrounded mid front to unrounded near-close near-front diphthong,e̞ɪ
BIPA_m_u006Du02E4,mˤ,pharyngealized voiced bilabial nasal consonant,mˤ
BIPA_ggh_u0067u0067u02B1,ggʱ,from voiced velar stop to breathy voiced velar stop cluster,ggʱ
BIPA_l_u026B,ɫ,velarized voiced alveolar lateral approximant consonant,lˠ
BIPA_r_u027Eu02D0,ɾː,long voiced alveolar tap consonant,ɾː
BIPA_z_u007Au033B,z̻,voiced laminal alveolar sibilant fricative consonant,z̻
BIPA_y_u028Eu0325,ʎ̥,devoiced voiced palatal lateral approximant consonant,ʎ̥
BIPA_u_u0075u02D0,uː,long rounded close back vowel,uː
BIPA_i_u0069u031Eu02D0,i̞ː,long lowered unrounded close front vowel,i̞ː
BIPA_yo_u0079u006F,yo,from rounded close front to rounded close-mid back diphthong,yo
BIPA_rw_u027Bu02B7,ɻʷ,labialized voiced retroflex approximant consonant,ɻʷ
BIPA_z_u007Au0320,z̠,retracted voiced alveolar sibilant fricative consonant,z̠
BIPA_eu_u025Eu028A,ɞʊ,from rounded open-mid central to rounded near-close near-back diphthong,ɞʊ
BIPA_ia_u0069u0061,ia,from unrounded close front to unrounded open front diphthong,ia
BIPA_i_u0069u0259,iə,from unrounded close front to unrounded mid central diphthong,iə
BIPA_s_u0073u033A,s̺,voiceless apical alveolar sibilant fricative consonant,s̺
BIPA_io_u0069u006F,io,from unrounded close front to rounded close-mid back diphthong,io
BIPA_a_u0061u0324u02D0,a̤ː,long breathy unrounded open front vowel,a̤ː
BIPA_ts_u0074u0283u02BC,tʃʼ,voiceless post-alveolar ejective sibilant affricate consonant,tʃʼ
BIPA_ngk_u014Bu006B,ŋk,from voiced velar nasal to voiceless velar stop cluster,ŋk
BIPA_b_u03B2u031E,β̞,voiced bilabial approximant consonant,β̞
UNK_tshdz_u0074u0283u02B0u0020u0064u0292,tʃʰ dʒ,,
BIPA_tsh_u0074u032Au0073u032Au02B0,t̪s̪ʰ,aspirated voiceless dental affricate consonant,ts̪ʰ
BIPA_l_u02C0u006C,ˀl,pre-glottalized voiced alveolar lateral approximant consonant,ˀl
BIPA_oy_u00F8u0079,øy,from rounded close-mid front to rounded close front diphthong,øy
BIPA_oe_u006Fu0065u032F,oe̯,from rounded close-mid back to non-syllabic unrounded close-mid front diphthong,oe̯
BIPA_eg_u025Bu02E0,ɛˠ,velarized unrounded open-mid front vowel,ɛˠ
BIPA_z_u007Au02D0,zː,long voiced alveolar sibilant fricative consonant,zː
BIPA_e_u0065u0324,e̤,breathy unrounded close-mid front vowel,e̤
BIPA_a_u0251u02D0,ɑː,long unrounded open back vowel,ɑː
BIPA_mf_u0271u0066,ɱf,from voiced labio-dental nasal to voiceless labio-dental fricative cluster,ɱf
BIPA_z_u0290,ʐ,voiced retroflex sibilant fricative consonant,ʐ
BIPA_y_u0265,ɥ,voiced labio-palatal approximant consonant,ɥ
BIPA_th_u0288u02B0u02D0,ʈʰː,aspirated long voiceless retroflex stop consonant,ʈʰː
BIPA_a_u0251u02D0u02D0,ɑːː,long unrounded open back vowel,ɑː
BIPA_oo_u006Fu006Fu032F,oo̯,long non-syllabic rounded close-mid back vowel,o̯ː
BIPA_s_u0283u033A,ʃ̺,voiceless apical post-alveolar sibilant fricative consonant,ʃ̺
BIPA_e_u1EBD,ẽ,nasalized unrounded close-mid front vowel,ẽ
BIPA_fj_u0066u02B2,fʲ,palatalized voiceless labio-dental fricative consonant,fʲ
BIPA_dz_u0256u0290,ɖʐ,voiced retroflex sibilant affricate consonant,ɖʐ
BIPA_a_u0061u0324,a̤,breathy unrounded open front vowel,a̤
BIPA_p_u0070,p,voiceless bilabial stop consonant,p
BIPA_s_u0073u032A,s̪,voiceless dental sibilant fricative consonant,s̪
UNK_nkh_u004Eu006Bu02B0,Nkʰ,,
BIPA_u_u0169u02D0,ũː,long nasalized rounded close back vowel,ũː
UNK_we_u0077u0065,we,,
BIPA_oa_u006Fu0061,oa,from rounded close-mid back to unrounded open front diphthong,oa
BIPA_r_u0072u02D0,rː,long voiced alveolar trill consonant,rː
UNK_ngb_u0274u0067u0062,ɴgb,,
UNK_dlz_u0064u006Cu0292,dlʒ,,
BIPA_tj_u0074u02B2u02D0,tʲː,palatalized long voiceless alveolar stop consonant,tʲː
BIPA_n_u0272u030A,ɲ̊,devoiced voiced palatal nasal consonant,ɲ̊
BIPA_o_u006Fu0330,o̰,creaky rounded close-mid back vowel,o̰
BIPA_sh_u0283u02B0,ʃʰ,aspirated voiceless post-alveolar sibilant fricative consonant,ʃʰ
BIPA_ts_u0074u0283,tʃ,voiceless post-alveolar sibilant affricate consonant,tʃ
BIPA_sj_u0073u02B2,sʲ,palatalized voiceless alveolar sibilant fricative consonant,sʲ
UNK_wr_u0077u0306u0020u0072,w̆ r,,
BIPA_u_u0075u02D1,uˑ,mid-long rounded close back vowel,uˑ
BIPA_i_u026Au0259,ɪə,from unrounded near-close near-front to unrounded mid central diphthong,ɪə
BIPA_ndj_u006Eu0064u02B2,ndʲ,from voiced alveolar nasal to palatalized voiced alveolar stop cluster,ndʲ
BIPA_f_u0066u02D0,fː,long voiceless labio-dental fricative consonant,fː
BIPA_r_u0072u02E4,rˤ,pharyngealized voiced alveolar trill consonant,rˤ
BIPA_n_u0272,ɲ,voiced palatal nasal consonant,ɲ
BIPA_ei_u025Bu0069,ɛi,from unrounded open-mid front to unrounded close front diphthong,ɛi
BIPA_yi_u0079u0069,yi,from rounded close front to unrounded close front diphthong,yi
BIPA_ae_u0061u025B,aɛ,from unrounded open front to unrounded open-mid front diphthong,aɛ
BIPA_ea_u0065u0061,ea,from unrounded close-mid front to unrounded open front diphthong,ea
BIPA_o_u00F8u02D1,øˑ,mid-long rounded close-mid front vowel,øˑ
BIPA_y_u0079u0259u032F,yə̯,from rounded close front to non-syllabic unrounded mid central diphthong,yə̯
BIPA_b_u0253,ɓ,voiced bilabial implosive consonant,ɓ
BIPA_kw_u006Bu02B7u2019u02D0,kʷ’ː,labialized long voiceless velar ejective stop consonant,k’ʷː
BIPA_eo_u0065u006Fu02D0,eoː,from unrounded close-mid front to long rounded close-mid back diphthong,eoː
BIPA_g_u0067u01C3,gǃ,voiced alveolar click consonant,gǃ
BIPA_t_u0074u02BC,tʼ,voiceless alveolar ejective stop consonant,tʼ
BIPA_tsh_u0074u0073u02B0u02D0,tsʰː,aspirated long voiceless alveolar sibilant affricate consonant,tsʰː
BIPA_d_u0064u032Au02D0,d̪ː,long voiced dental stop consonant,d̪ː
UNK_m_u0294u006D,ʔm,,
BIPA_hj_u0068u02B2u02D0,hʲː,palatalized long voiceless glottal fricative consonant,hʲː
BIPA_j_u029Du031E,ʝ̞,lowered voiced palatal fricative consonant,ʝ̞
UNK_aj_u0061u006A,aj,,
BIPA_z_u0292u030A,ʒ̊,devoiced voiced post-alveolar sibilant fricative consonant,ʒ̊
UNK_l_u006Cu0294,lʔ,,
BIPA_ae_u00E6,æ,unrounded near-open front vowel,æ
BIPA_sw_u0073u02B7,sʷ,labialized voiceless alveolar sibilant fricative consonant,sʷ
BIPA_th_u0288u02B0,ʈʰ,aspirated voiceless retroflex stop consonant,ʈʰ
BIPA_l_u026Du02D0,ɭː,long voiced retroflex lateral approximant consonant,ɭː
BIPA_q_u0071u2019,q’,voiceless uvular ejective stop consonant,qʼ
BIPA_i_u0129u02D0,ĩː,long nasalized unrounded close front vowel,ĩː
BIPA_e_u025Bu0303u02D0,ɛ̃ː,long nasalized unrounded open-mid front vowel,ɛ̃ː
BIPA__u0259u0324,ə̤,breathy unrounded mid central vowel,ə̤
BIPA_l_u026C,ɬ,voiceless alveolar lateral fricative consonant,ɬ
BIPA_pph_u0070u0070u02B0,ppʰ,from voiceless bilabial stop to aspirated voiceless bilabial stop cluster,ppʰ
BIPA_i_u0069u02D1,iˑ,mid-long unrounded close front vowel,iˑ
BIPA_uu_u0264u0075,ɤu,from unrounded close-mid back to rounded close back diphthong,ɤu
BIPA_ts_u0074u035Cu0073,t͜s,voiceless alveolar sibilant affricate consonant,ts
UNK_w_u0294u0077,ʔw,,
BIPA_oi_u006Fu0069u032F,oi̯,from rounded close-mid back to non-syllabic unrounded close front diphthong,oi̯
BIPA_u_u0075,u,rounded close back vowel,u
BIPA_u_u028Au02E4u02D0,ʊˤː,long pharyngealized rounded near-close near-back vowel,ʊˤː
BIPA_dz_u0064u0292,dʒ,voiced post-alveolar sibilant affricate consonant,dʒ
BIPA_i_u026Au02D1,ɪˑ,mid-long unrounded near-close near-front vowel,ɪˑ
BIPA_ts_u0074u0073u033A,ts̺,voiceless apical alveolar sibilant affricate consonant,ts̺
BIPA_ou_u006Fu028Au0303,oʊ̃,from rounded close-mid back to nasalized rounded near-close near-back diphthong,oʊ̃
BIPA_ai_u0061u02D0u0069,aːi,from long unrounded open front to unrounded close front diphthong,aːi
BIPA_h_u01C1u02B0,ǁʰ,aspirated voiceless lateral click consonant,ǁʰ
BIPA_ng_u014Bu003A,ŋ:,long voiced velar nasal consonant,ŋː
BIPA_dh_u0256u02B0,ɖʰ,aspirated voiced retroflex stop consonant,ɖʰ
BIPA_ng_u014Bu030A,ŋ̊,devoiced voiced velar nasal consonant,ŋ̊
BIPA_dh_u0256u02D0u02B1,ɖːʱ,long breathy voiced retroflex stop consonant,ɖʱː
BIPA_o_u0254u02E4u02D0,ɔˤː,long pharyngealized rounded open-mid back vowel,ɔˤː
BIPA__u0259u0303,ə̃,nasalized unrounded mid central vowel,ə̃
BIPA_au_u0250u0075,ɐu,from unrounded near-open central to rounded close back diphthong,ɐu
BIPA_n_u0273u02D0,ɳː,long voiced retroflex nasal consonant,ɳː
BIPA_qh_u0071u02B0,qʰ,aspirated voiceless uvular stop consonant,qʰ
BIPA_k_u006Bu2019,k’,voiceless velar ejective stop consonant,kʼ
BIPA_dz_u0064u007Au02D0,dzː,long voiced alveolar sibilant affricate consonant,dzː
BIPA_dzh_u0064u0292u02B1,dʒʱ,breathy voiced post-alveolar sibilant affricate consonant,dʒʱ
UNK_jau_u006Au0061u0075u032F,jau̯,,
BIPA_w_u028D,ʍ,voiceless labio-velar approximant consonant,ʍ
BIPA_ou_u006Fu0075,ou,from rounded close-mid back to rounded close back diphthong,ou
UNK_tn_u1D57u006E,ᵗn,,
BIPA_ndw_u006Eu032Au0064u032Au02B7,n̪d̪ʷ,from voiced dental nasal to labialized voiced dental stop cluster,n̪d̪ʷ
BIPA_aei_u00E6u0069u032F,æi̯,from unrounded near-open front to non-syllabic unrounded close front diphthong,æi̯
BIPA_o_u0275,ɵ,rounded close-mid central vowel,ɵ
BIPA_nj_u207Fu025F,ⁿɟ,pre-nasalized voiced palatal stop consonant,ⁿɟ
BIPA_au_u0250u0289,ɐʉ,from unrounded near-open central to rounded close central diphthong,ɐʉ
BIPA_r_u0072,r,voiced alveolar trill consonant,r
BIPA_ngj_u014Bu02B2,ŋʲ,palatalized voiced velar nasal consonant,ŋʲ
BIPA_tsj_u0074u0283u02B2,tʃʲ,palatalized voiceless post-alveolar sibilant affricate consonant,tʃʲ
BIPA__u2C71,ⱱ,voiced labio-dental tap consonant,ⱱ
BIPA_ts_u0074u033Bu0073u033B,t̻s̻,from voiceless laminal alveolar stop to voiceless laminal alveolar sibilant fricative cluster,t̻s̻
BIPA_d_u0064u0325,d̥,devoiced voiced alveolar stop consonant,d̥
BIPA_ts_u0074u0073u2019,ts’,voiceless alveolar ejective sibilant affricate consonant,tsʼ
BIPA_cc_u0063u00E7,cç,voiceless palatal affricate consonant,cç
BIPA_u_u0264u02D0,ɤː,long unrounded close-mid back vowel,ɤː
UNK_j_u006Au028C,jʌ,,
BIPA_o_u0254u02D0u02E4,ɔːˤ,long pharyngealized rounded open-mid back vowel,ɔˤː
BIPA_a_u0251u0303,ɑ̃,nasalized unrounded open back vowel,ɑ̃
BIPA_ts_u0074u0282,tʂ,voiceless retroflex sibilant affricate consonant,ʈʂ
BIPA_o_u006F,o,rounded close-mid back vowel,o
BIPA_ndz_u006Eu0064u0290,ndʐ,from voiced alveolar nasal to voiced retroflex sibilant affricate cluster,nɖʐ
BIPA_aee_u00E6u0065,æe,from unrounded near-open front to unrounded close-mid front diphthong,æe
UNK_tstsh_u0074u0283u0074u0283u02B0,tʃtʃʰ,,
BIPA_i_u026Au02D0,ɪː,long unrounded near-close near-front vowel,ɪː
BIPA_e_u025Bu02D1,ɛˑ,mid-long unrounded open-mid front vowel,ɛˑ
BIPA_e_u0065u0259,eə,from unrounded close-mid front to unrounded mid central diphthong,eə
BIPA_kw_u006Bu2019u02B7,k’ʷ,labialized voiceless velar ejective stop consonant,kʼʷ
BIPA_r_u027E,ɾ,voiced alveolar tap consonant,ɾ
BIPA_r_u027Eu0325,ɾ̥,devoiced voiced alveolar tap consonant,ɾ̥
BIPA_hj_u0068u02B2,hʲ,palatalized voiceless glottal fricative consonant,hʲ
UNK_n_u006Eu0318,n̘,,
